title,rent,room,lease,city,area,community,position,decoration,space,face,floor,type,time,contacts,evaluate
租房立省4000元园建大楼家电齐全 拎包入住 急租急租,2000,3室1厅1卫,付1押1,合租,福田,园建大楼,笔架山,精装修,12.9平方米,东北,低层(共15层),普通住宅,2019年6月12日,陈**,打败了88%的同城经纪人
租房立省3000元龙井小区商超齐全 压一付一 随时看房,1900,3室1厅1卫,付1押1,合租,福田,龙井小区,农科中心,精装修,21.6平方米,朝南,低层(共23层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
南头小区配套完善 适合居家 安全放心 户型方正 采光足,1399,3室1厅1卫,付1押1,合租,南山,新海大厦,南头,精装修,17.9平方米,朝西,低层(共28层),普通住宅,2019年6月12日,白*,打败了88%的同城经纪人
租房立省2000元东港中心大厦全新家电给你个温馨的窝,2210,3室1厅1卫,付1押1,合租,罗湖,东港中心大厦,东门,精装修,23.1平方米,西北,高层(共20层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
佳兆业大都汇 紧邻地铁，押一付一 蛋壳公寓,2550,1室1厅1卫,付1押1,合租,布吉,佳兆业大都汇,布吉街,精装修,13.3平方米,朝南,低层(共13层),普通住宅,2019年6月11日,李**,打败了74.2%的同城经纪人
龙岗  户型1室 蛋壳公寓 免中介 拎包入住,2550,1室1厅1卫,付1押1,合租,布吉,龙威花园,布吉关,精装修,15.3平方米,朝南,低层(共16层),普通住宅,2019年6月11日,李**,打败了74.2%的同城经纪人
首月0元住后海天悦园可短租可月付押一付一领包入住,1610,3室1厅1卫,付1押1,合租,南山,天悦园,海岸城,精装修,14平方米,朝北,低层(共16层),普通住宅,2019年6月12日,居**,打败了68%的同城经纪人
,,,,,,,,,,,,,,,
首月0元住桃源居中信24管家服务高性价比大主卧等,815,2室1厅1卫,付1押1,合租,宝安,领航里程花园(中信领航城一期),领航城,精装修,14.3平方米,东北,高层(共19层),普通住宅,2019年6月12日,王**,打败了77.2%的同城经纪人
白石洲 桂苑 精装全配 押一付一 0中介 拎包住,2000,3室1厅1卫,付1押1,合租,南山,桂苑,华侨城,精装修,14.4平方米,朝东,中层(共25层),普通住宅,2019年6月12日,刘*,打败了68%的同城经纪人
